Name,Href,Birthday,Debut,Position,Team
Gabriel Arias,/players/a/ariasga01.shtml,"['February 27', '2000']","['\n    April 20, 2022\n    ']","['\n    Shortstop, First Baseman and Third Baseman\n  \n']",['Cleveland Guardians']
Shawn Armstrong,/players/a/armstsh01.shtml,"['September 11', '1990']","['\n    August 8, 2015\n    ']",['\n    Pitcher\n  \n'],['Tampa Bay Rays']
Randy Arozarena,/players/a/arozara01.shtml,"['February 28', '1995']","['\n    August 14, 2019\n    ']",['\n    Leftfielder\n  \n'],['Tampa Bay Rays']
Luis Arráez,/players/a/arraelu01.shtml,"['April 9', '1997']","['\n    May 18, 2019\n    ']","['\n    Second Baseman, Third Baseman and First Baseman\n  \n']",['Miami Marlins']
Spencer Arrighetti,/players/a/arrigsp01.shtml,"['January 2', '2000']",[],['\n    Pitcher\n  \n'],['Houston Astros']
Christian Arroyo,/players/a/arroych01.shtml,"['May 30', '1995']","['\n    April 24, 2017\n    ']","['\n    Second Baseman, Third Baseman and Shortstop\n  \n']",['Milwaukee Brewers']
Aaron Ashby,/players/a/ashbyaa01.shtml,"['May 24', '1998']","['\n    June 30, 2021\n    ']",['\n    Pitcher\n  \n'],['Milwaukee Brewers']
Graham Ashcraft,/players/a/ashcrgr01.shtml,"['February 11', '1998']","['\n    May 22, 2022\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Javier Assad,/players/a/assadja01.shtml,"['July 30', '1997']","['\n    August 23, 2022\n    ']",['\n    Pitcher\n  \n'],['Chicago Cubs']
Nick Avila,/players/a/avilani01.shtml,"['July 25', '1997']",[],['\n    Pitcher\n  \n'],['San Francisco Giants']
Pedro Avila,/players/a/avilape01.shtml,"['January 14', '1997']","['\n    April 11, 2019\n    ']",['\n    Pitcher\n  \n'],['San Diego Padres']
José Azocar,/players/a/azocajo01.shtml,"['May 11', '1996']","['\n    April 7, 2022\n    ']",['\n    Outfielder\n  \n'],['San Diego Padres']
Sam Bachman,/players/b/bachmsa01.shtml,"['September 30', '1999']","['\n    May 26, 2023\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Akil Baddoo,/players/b/baddoak01.shtml,"['August 16', '1998']","['\n    April 4, 2021\n    ']",['\n    Leftfielder\n  \n'],['Detroit Tigers']
Harrison Bader,/players/b/baderha01.shtml,"['June 3', '1994']","['\n    July 25, 2017\n    ']",['\n    Centerfielder\n  \n'],['New York Mets']
Ji Hwan Bae,/players/b/baeji01.shtml,"['July 26', '1999']","['\n    September 23, 2022\n    ']",['\n    Second Baseman and Centerfielder\n  \n'],['Pittsburgh Pirates']
Javier Báez,/players/b/baezja01.shtml,"['December 1', '1992']","['\n    August 5, 2014\n    ']","['\n    Shortstop, Second Baseman and Third Baseman\n  \n']",['Detroit Tigers']
Patrick Bailey,/players/b/bailepa01.shtml,"['May 29', '1999']","['\n    May 19, 2023\n    ']",['\n    Catcher\n  \n'],['San Francisco Giants']
Bryan Baker,/players/b/bakerbr01.shtml,"['December 2', '1994']","['\n    September 5, 2021\n    ']",['\n    Pitcher\n  \n'],['Baltimore Orioles']
Luken Baker,/players/b/bakerlu01.shtml,"['March 10', '1997']","['\n    June 4, 2023\n    ']",['\n    Designated Hitter and First Baseman\n  \n'],['St. Louis Cardinals']
Jordan Balazovic,/players/b/balazjo02.shtml,"['September 17', '1998']","['\n    June 18, 2023\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Anthony Banda,/players/b/bandaan01.shtml,"['August 10', '1993']","['\n    July 22, 2017\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Tanner Banks,/players/b/banksta01.shtml,"['October 24', '1991']","['\n    April 10, 2022\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Rylan Bannon,/players/b/bannory01.shtml,"['April 22', '1996']","['\n    May 12, 2022\n    ']","['\n    Third Baseman, Designated Hitter and Second Baseman\n  \n']",['New York Mets']
Daniel Bard,/players/b/bardda01.shtml,"['June 25', '1985']","['\n    May 13, 2009\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Joe Barlow,/players/b/barlojo01.shtml,"['September 28', '1995']","['\n    June 24, 2021\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Scott Barlow,/players/b/barlosc01.shtml,"['December 18', '1992']","['\n    April 30, 2018\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Austin Barnes,/players/b/barneau01.shtml,"['December 28', '1989']","['\n    May 24, 2015\n    ']",['\n    Catcher and Second Baseman\n  \n'],['Los Angeles Dodgers']
Jacob Barnes,/players/b/barneja01.shtml,"['April 14', '1990']","['\n    June 3, 2016\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Matt Barnes,/players/b/barnema01.shtml,"['June 17', '1990']","['\n    September 9, 2014\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Tucker Barnhart,/players/b/barnhtu01.shtml,"['January 7', '1991']","['\n    April 3, 2014\n    ']",['\n    Catcher\n  \n'],['Arizona Diamondbacks']
Jose Barrero,/players/g/garcijo02.shtml,"['April 5', '1998']","['\n    August 27, 2020\n    ']",['\n    Shortstop and Centerfielder\n  \n'],['Texas Rangers']
Jaime Barria,/players/b/barrija01.shtml,"['July 18', '1996']","['\n    April 11, 2018\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Jorge Barrosa,/players/b/barrojo01.shtml,"['February 17', '2001']",[],['\n    Centerfielder and Pinch Hitter\n  \n'],['Arizona Diamondbacks']
Joey Bart,/players/b/bartjo01.shtml,"['December 15', '1996']","['\n    August 20, 2020\n    ']",['\n    Catcher\n  \n'],['Pittsburgh Pirates']
Osleivis Basabe,/players/b/basabos01.shtml,"['September 13', '2000']","['\n    August 13, 2023\n    ']","['\n    Shortstop, Third Baseman and Second Baseman\n  \n']",['Tampa Bay Rays']
Chris Bassitt,/players/b/bassich01.shtml,"['February 22', '1989']","['\n    August 30, 2014\n    ']",['\n    Pitcher\n  \n'],['Toronto Blue Jays']
Matthew Batten,/players/b/battema01.shtml,"['June 22', '1995']","['\n    June 30, 2022\n    ']","['\n    Third Baseman, Second Baseman and First Baseman\n  \n']",['San Diego Padres']
Brett Baty,/players/b/batybr01.shtml,"['November 13', '1999']","['\n    August 17, 2022\n    ']",['\n    Third Baseman\n  \n'],['New York Mets']
Jake Bauers,/players/b/bauerja01.shtml,"['October 6', '1995']","['\n    June 7, 2018\n    ']",['\n    First Baseman and Outfielder\n  \n'],['Milwaukee Brewers']
Mike Baumann,/players/b/baumami01.shtml,"['September 10', '1995']","['\n    September 7, 2021\n    ']",['\n    Pitcher\n  \n'],['Baltimore Orioles']
Félix Bautista,/players/b/bautife01.shtml,"['June 20', '1995']","['\n    April 10, 2022\n    ']",['\n    Pitcher\n  \n'],['Baltimore Orioles']
Shane Baz,/players/b/bazsh01.shtml,"['June 17', '1999']","['\n    September 20, 2021\n    ']",['\n    Pitcher\n  \n'],['Tampa Bay Rays']
Eduard Bazardo,/players/b/bazared01.shtml,"['September 1', '1995']","['\n    April 14, 2021\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Tristan Beck,/players/b/becktr01.shtml,"['June 24', '1996']","['\n    April 20, 2023\n    ']",['\n    Pitcher\n  \n'],['San Francisco Giants']
David Bednar,/players/b/bednada01.shtml,"['October 10', '1994']","['\n    September 1, 2019\n    ']",['\n    Pitcher\n  \n'],['Pittsburgh Pirates']
Tyler Beede,/players/b/beedety01.shtml,"['May 23', '1993']","['\n    April 10, 2018\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Jalen Beeks,/players/b/beeksja02.shtml,"['July 10', '1993']","['\n    June 7, 2018\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Seth Beer,/players/b/beerse01.shtml,"['September 18', '1996']","['\n    September 10, 2021\n    ']",['\n    Designated Hitter and First Baseman\n  \n'],['Pittsburgh Pirates']
Clayton Beeter,/players/b/beetecl01.shtml,"['October 9', '1998']",[],['\n    Pitcher\n  \n'],['New York Yankees']
Josh Bell,/players/b/belljo02.shtml,"['August 14', '1992']","['\n    July 8, 2016\n    ']",['\n    First Baseman\n  \n'],['Miami Marlins']
Andrew Bellatti,/players/b/bellaan01.shtml,"['August 5', '1991']","['\n    May 9, 2015\n    ']",['\n    Pitcher\n  \n'],['Philadelphia Phillies']
Cody Bellinger,/players/b/bellico01.shtml,"['July 13', '1995']","['\n    April 25, 2017\n    ']",['\n    Centerfielder and First Baseman\n  \n'],['Chicago Cubs']
Brayan Bello,/players/b/bellobr01.shtml,"['May 17', '1999']","['\n    July 6, 2022\n    ']",['\n    Pitcher\n  \n'],['Boston Red Sox']
